<ID|readonly|noverify>;<English>
us_t18_e2_0;Armored Car, T18E2 "Boarhound"
us_t18_e2_1;T18E2
us_t18_e2_2;Armored Car
us_m6a1_shop;M6A1
us_m6a1_0;Heavy Tank, M6A1
us_m6a1_1;M6A1
us_m6a1_2;Heavy tank
us_m6a2e1_shop;M6A2E1-1
us_m6a2e1_0;Heavy Tank, M6A2E1, Pilot No. 1
us_m6a2e1_1;M6A2E1
us_m6a2e1_2;Heavy tank
us_t1e1_shop;T1E1
us_t1e1_0;Heavy Tank, T1E1
us_t1e1_1;T1E1
us_t1e1_2;Heavy Tank
us_m19_shop;M19A1 GMC
us_m19_0;Twin 40mm Gun Motor Carriage, M19A1
us_m19_1;M19A1 GMC
us_m19_2;SPAA
us_m42_duster_shop;M42 Duster
us_m42_duster_0;Twin 40mm Self-Propelled Gun, M42 Duster
us_m42_duster_1;M42
us_m42_duster_2;SPAA
us_m18_hellcat_shop;M18 GMC
us_m18_hellcat_0;76mm Gun Motor Carriage, M18 Hellcat
us_m18_hellcat_1;M18 GMC
us_m18_hellcat_2;SPG
us_m18_hellcat_black_cat_shop;M18 GMC «Black Cat»
us_m18_hellcat_black_cat_0;76mm Gun Motor Carriage, M18 Hellcat [805th Tank Destroyer Battalion, 5th Armored Division] «Black Cat»
us_m18_hellcat_black_cat_1;M18 GMC
us_m18_hellcat_black_cat_2;SPG
us_m18_super_hellcat_shop;M18 GMC (M3)
us_m18_super_hellcat_0;90mm Gun Motor Carriage, M18 "Super Hellcat"
us_m18_super_hellcat_1;M18 GMC
us_m18_super_hellcat_2;SPG
us_t14_shop;T14
us_t14_0;Assault Tank, T14
us_t14_1;T14
us_t14_2;Assault tank
us_t55e1_shop;T55E1 GMC
us_t55e1_0;3-inch Gun Motor Carriage, T55E1
us_t55e1_1;T55E1 GMC
us_t55e1_2;SPG
us_t20_shop;T20
us_t20_0;Medium Tank, T20
us_t20_1;T20
us_t20_2;Medium tank
us_m41_walker_bulldog_shop;M41A1
us_m41_walker_bulldog_0;76mm Gun Tank, M41A1 Walker Bulldog
us_m41_walker_bulldog_1;M41A1
us_m41_walker_bulldog_2;Light tank
us_m56_scorpion_shop;M56
us_m56_scorpion_0;90mm Self-Propelled Gun, M56 Scorpion
us_m56_scorpion_1;M56
us_m56_scorpion_2;SPG
us_t92_shop;T92
us_t92_0;76mm Gun Tank, T92
us_t92_1;T92
us_t92_2;Light tank
us_t25_shop;T25
us_t25_0;Medium Tank, T25
us_t25_1;T25
us_t25_2;Medium tank
us_m26_pershing_shop;M26 Pershing
us_m26_pershing_0;Medium Tank, M26 Pershing
us_m26_pershing_1;M26
us_m26_pershing_2;Medium tank
us_m26_t99_shop;M26 Persing (T99)
us_m26_t99_0;Medium Tank, M26 Pershing (Rocket Launcher, T99)
us_m26_t99_1;M26 (T99)
us_m26_t99_2;Medium tank
us_m26e1_pershing_shop;M26E1 Pershing
us_m26e1_pershing_0;Medium Tank, M26E1 Pershing
us_m26e1_pershing_1;M26E1
us_m26e1_pershing_2;Medium tan
us_t26e4_superpershing_shop;T26E4-1
us_t26e4_superpershing_0;Heavy Tank, T26E4, Temporary Pilot No. 1 "Super Pershing"
us_t26e4_superpershing_1;T26E4
us_t26e4_superpershing_2;Heavy tank
us_t28_shop;T28 (Transport)
us_t26e5_shop;T26E5
us_t26e5_0;Medium Tank, T26E5
us_t26e5_1;T26E5
us_t26e5_2;Assault tank
us_t34_shop;T34
us_t34_0;Heavy Tank, T34
us_t34_1;T34
us_t34_2;Heavy tank
us_m36_shop;M36 GMC
us_m36_0;90mm Gun Motor Carriage, M36 General Jackson
us_m36_1;M36 GMC
us_m36_2;SPG
us_m36b2_shop;M36B2 GMC
us_m36b2_0;90mm Gun Motor Carriage, M36B2 General Jackson
us_m36b2_1;M36B2 GMC
us_m36b2_2;SPG
us_m46_patton_shop;M46
us_m46_patton_0;Medium Tank, M46 Patton
us_m46_patton_1;M46
us_m46_patton_2;Medium tank
us_m46_patton_73_armor_bat_shop;M46 (73rd T.Bat.)
us_m46_patton_73_armor_bat_0;Medium Tank, M46 Patton [C Company | 73rd Tank Battalion]
us_m46_patton_73_armor_bat_1;M46
us_m46_patton_73_armor_bat_2;Medium tank
us_t28_0;Super Heavy Tank, T28 (Transport Configuration)
us_t28_1;T28 (Transport)
us_t28_2;SPG
us_t95_shop;T28
us_t95_0;Super Heavy Tank, T28
us_t95_1;T28
us_t95_2;SPG
us_t29_shop;T29
us_t29_0;Heavy Tank, T29
us_t29_1;T29
us_t29_2;Heavy tank
us_t30_shop;T30
us_t30_0;Heavy Tank, T30
us_t30_1;T30
us_t30_2;Heavy tank
us_m50_ontos_shop;M50 Ontos
us_m50_ontos_0;Rifle, Multiple 406mm, Self-Propelled, M50 Onthos
us_m50_ontos_1;M50 Ontos
us_m50_ontos_2;SPG
shop/group/us_m46_m47_group;M46/M47
us_m46_patton_shop;M46
us_m46_patton_0;Medium Tank, M46 Patton
us_m46_patton_1;M46
us_m46_patton_2;Medium Tank
us_m47_patton_II_shop;M47
us_m47_patton_II_0;90mm Gun Tank, M47 Patton II
us_m47_patton_II_1;M47
us_m47_patton_II_2;Medium tank
shop/group/us_m48_m60_group;M48/M60
us_m48a1_patton_III_shop;M48A1
us_m48a1_patton_III_0;90mm Gun Tank, M48A1 Patton III
us_m48a1_patton_III_1;M48A1
us_m48a1_patton_III_2;Medium tank
us_m60_shop;M60
us_m60_0;Tank, Combat, Full-Tracked: 105mm Gun, M60
us_m60_1;M60
us_m60_2;MBT
shop/group/us_t32_group;T32
us_t32_shop;T32
us_t32_0;Heavy Tank, T32
us_t32_1;T32
us_t32_2;Heavy tank
us_t32_tutorial_shop;T32
us_t32_tutorial_0;Heavy Tank, T32
us_t32_tutorial_1;T32
us_t32_tutorial_2;Heavy tank
us_t32e1_shop;T32E1
us_t32e1_0;Heavy Tank, T32E1
us_t32e1_1;T32E1
us_t32e1_2;Heavy tank
us_m103_shop;M103
us_m103_0;120mm Gun Combat Tank M103
us_m103_1;M103
us_m103_2;Heavy tank
us_m163_vulcan_shop;M163 VADS
us_m163_vulcan_0;M163 Vulcan Air Defence System
us_m163_vulcan_1;M163
us_m163_vulcan_2;SPAA
us_t114_shop;T114
us_t114_0;Command and Reconnaissance Vehicle, T114 Pilot No. 5, Battalion Anti-Tank
us_t114_1;T114
us_t114_2;SPG
us_m728_shop;M728 CEV
us_m728_0;Combat Engineer Vehicle, M728
us_m728_1;M728 CEV
us_m728_2;Medium Tank
us_magach_3_shop;▃ Magach 3
us_magach_3_0;▃ Magach 3
us_magach_3_1;▃ Magach 3
us_magach_3_2;MBT
us_t54e1_shop;T54E1
us_t54e1_0;105mm Gun Tank, T54E1
us_t54e1_1;T54E1
us_t54e1_2;Medium tank
us_m551_shop;M551 Sheridan
us_m551_0;M551 Sheridan Armored Reconnaissance/Airborne Assault Vehicle
us_m551_1;M551
us_m551_2;Light tank
us_m3_bradley_shop;M3 Bradley
us_m3_bradley_0;Cavalry Fighting Vehicle, M3 Bradley
us_m3_bradley_1;M3 Bradley
us_m3_bradley_2;Light tank
us_m3a3_bradley_shop;M3A3 Bradley
us_m3a3_bradley_0;Cavalry Fighting Vehicle, M3A3 Bradley
us_m3a3_bradley_1;M3A3 Bradley
us_m3a3_bradley_2;Light tank
us_m60_shop;M60
us_m60_0;105mm Gun Tank, M60
us_m60_1;M60
us_m60_2;MBT
us_m60a1_shop;M60A1 AOS
us_m60a1_0;105mm Gun Tank, M60A1, Add-On Stabilizer)
us_m60a1_1;M60A1 (AOS)
us_m60a1_2;MBT
us_m60a1_rise_passive_era_shop;M60A1 (RISE/P)
us_m60a1_rise_passive_era_0;Tank, Combat, Full Tracked, 105-mm Gun, M60A1, Reliability Improvement of Selected Equipment, Passive
us_m60a1_rise_passive_era_1;M60A1 (RISE/P)
us_m60a1_rise_passive_era_2;MBT
us_m60a2_shop;M60A2
us_m60a2_0;152mm Gun Tank, M60A2 "Starship"
us_m60a2_1;M60A2
us_m60a2_2;MBT
us_m60a3_tts_shop;M60A3 TTS
us_m60a3_tts_0;105mm Gun Tank, M60A3, Tank Thermal Sight
us_m60a3_tts_1;M60A3 TTS
us_m60a3_tts_2;MBT
us_m60a3_slep_shop;M60A3 SLEP
us_m60a3_slep_0;120mm Gun Tank, M60A3, Service Life Extension Program
us_m60a3_slep_1;M60A3 SLEP
us_m60a3_slep_2;MBT
us_t95e1_shop;T95E1
us_t95e1_0;90mm Gun Tank, T95E1
us_t95e1_1;T95E1
us_t95e1_2;Medium tank
shop/group/us_mbt_xm_group;MBT-70
us_xm_803_shop;XM803
us_xm_803_0;152mm Gun-Launcher Tank, XM803
us_xm_803_1;XM803
us_xm_803_2;MBT
us_mbt_70_shop;MBT 70
us_mbt_70_0;152mm Gun-Launcher Main Battle Tank 70
us_mbt_70_1;MBT 70
us_mbt_70_2;MBT
us_m247_shop;M247
us_m247_0;Gun, Air Defence Artillery, Self-Propelled, 40-mm, M247 Sergeant York
us_m247_1;M247
us_m247_2;SPAA
us_mim_72_chaparral_shop;M48 Chaparral
us_mim_72_chaparral_0;M48 Chaparral Intercept-Aerial Guided Missile System
us_mim_72_chaparral_1;M48 Chaparral
us_mim_72_chaparral_2;SPAA
us_lav_ad_shop;LAV-AD
us_lav_ad_0;Light Armored Vehicle - Air Defence
us_lav_ad_1;LAV-AD
us_lav_ad_2;SPAA
us_xm1_gm_shop;XM1 (GM)
us_xm1_gm_0;Tank, Combat, Full Tracked, 105mm, XM1 (General Motors)
us_xm1_gm_1;XM1 (GM)
us_xm1_gm_2;MBT
us_xm1_chrysler_shop;XM1 (Chrysler)
us_xm1_chrysler_0;Tank, Combat, Full Tracked, 105mm, XM1 (Chrysler)
us_xm1_chrysler_1;XM1 (C)
us_xm1_chrysler_2;MBT
us_m901_itv_shop;M901
us_m901_itv_0;Anti-Tank Combat Vehicle, Improved TOW Vehicle, M901
us_m901_itv_1;M901
us_m901_itv_2;SPG
us_merkava_mk_1_shop;▃ Merkava Mk. 1
us_merkava_mk_1_0;Merkava Mark 1
us_merkava_mk_1_1;▃ Merkava Mk. 1
us_merkava_mk_1_2;MBT
us_merkava_mk_2b_late_shop;▃ Merkava Mk. 2B
us_merkava_mk_2b_late_0;Merkava Mark 2B
us_merkava_mk_2b_late_1;▃ Merkava Mk. 2
us_merkava_mk_2b_late_2;MBT
us_merkava_mk_3d_shop;▃ Merkava Mk. 3D
us_merkava_mk_3d_0;Merkava Mark 3D
us_merkava_mk_3d_1;▃ Merkava Mk. 3
us_merkava_mk_3d_2;MBT
us_xm_8_shop;XM8 AGS
us_xm_8_0;105mm Armored Gun System, XM8
us_xm_8_1;XM8 AGS
us_xm_8_2;SPG
us_ags_teledyne_shop;ASP AGS
us_ags_teledyne_0;Armored Gun System, Teledyne Continental Motors Armored Support Platform
us_ags_teledyne_1;Expeditionary tank
us_ags_teledyne_2;ASP AGS
us_ccvl_shop;CCVL AGS
us_ccvl_0;Armored Gun System, Close Combat Vehicle Light
us_ccvl_1;CCVL AGS
us_ccvl_2;Light Tank
us_losat_ccv_shop;CCVL LOSAT
us_losat_ccv_0;Line-of-Sight Anti-Tank, Close Combat Vehicle Light
us_losat_ccv_1;CCVL LOSAT
us_losat_ccv_2;SPG
us_hstv_l_shop;HSTV-L
us_hstv_l_0;High Survivability Test Vehicle-Lightweight
us_hstv_l_1;HSTV-L
us_hstv_l_2;Light tank
us_m1_abrams_shop;M1
us_m1_abrams_0;Tank, Combat, Full Tracked, 105mm, M1 Abrams
us_m1_abrams_1;M1
us_m1_abrams_2;MBT
us_m1_abrams_kvt_shop;M1 KVT
us_m1_abrams_kvt_0;Tank, Combat, Full Tracked, 105mm, M1 Abrams, Krasnovian Variant Tank
us_m1_abrams_kvt_1;M1
us_m1_abrams_kvt_2;MBT
us_m1a1_abrams_shop;M1A1
us_m1a1_abrams_0;Tank, Combat, Full Tracked, 120mm, M1A1 Abrams
us_m1a1_abrams_1;M1A1
us_m1a1_abrams_2;MBT
us_m1a1_abrams_yt_cup_2019_shop;␙ M1A1
us_m1a1_abrams_yt_cup_2019_0;␙ Tank, Combat, Full Tracked, 120mm, M1A1 Abrams
us_m1a1_abrams_yt_cup_2019_1;␙ M1A1
us_m1a1_abrams_yt_cup_2019_2;MBT
us_m1_ip_abrams_shop;M1IP
us_m1_ip_abrams_0;Tank, Combat, Full Tracked, 105mm, M1 Abrams, Improved Performance
us_m1_ip_abrams_1;M1IP
us_m1_ip_abrams_2;MBT
us_m1a1_hc_abrams_shop;M1A1HC
us_m1a1_hc_abrams_0;Tank, Combat, Full Tracked, 120mm, M1A1 Abrams, Heavy Common
us_m1a1_hc_abrams_1;M1A1HC
us_m1a1_hc_abrams_2;MBT
us_m1a1_aim_abrams_shop;M1A1AIM «Anarchy»
us_m1a1_aim_abrams_0;Tank, Combat, Full Tracked, 120mm, M1A1 Abrams, Abrams Integrated Management version 1, Situational Awareness [12B | 1st Armed Regiment] «Anarchy»
us_m1a1_aim_abrams_1;M1A1
us_m1a1_aim_abrams_2;MBT
us_m1a2_abrams_shop;M1A2
us_m1a2_abrams_0;Tank, Combat, Full Tracked, 120mm, M1A2 Abrams
us_m1a2_abrams_1;M1A2
us_m1a2_abrams_2;MBT
us_m1a2_sep_abrams_shop;M1A2 SEP
us_m1a2_sep_abrams_0;Tank, Combat, Full Tracked, 120mm, M1A2 Abrams, System Enhancement Package
us_m1a2_sep_abrams_1;M1A2 SEP
us_m1a2_sep_abrams_2;MBT
us_xm_975_roland_shop;XM975
us_xm_975_roland_0;Carrier, Air Defense Missile System, Experimental M975
us_xm_975_roland_1;XM975
us_xm_975_roland_2;SPAA
us_adats_bradley_shop;ADATS
us_adats_bradley_0;Air Defense Anti-Tank System
us_adats_bradley_1;ADATS
us_adats_bradley_2;SPAA
us_m1128_mgs_shop;M1128 MGS
us_m1128_mgs_0;Mobile Gun System, M1128 Stryker
us_m1128_mgs_1;M1128
us_m1128_mgs_2;SPG
us_m1128_wolfpack_shop;M1128 MGS (3/2 SCR)
us_m1128_wolfpack_0;Mobile Gun System, M1128 Stryker [C-42 | 3rd Squadron, 2nd Cavalry Regiment «Wolfpack»]
us_m1128_wolfpack_1;M1128
us_m1128_wolfpack_2;SPG
shop/group/us_sherman_group;M4 (75)
shop/group/us_t26_t25_group;M4/T26 / T25
shop/group/us_t26_group;T26
shop/group/us_abrams_group;M1A1
shop/group/us_abrams_a2_group;M1A2
shop/group/us_m47_48_group;M47 / M48
shop/group/us_sherman_76w_group;M4A2/ M4A3 (76)
shop/group/us_m60_group;M60A1
shop/group/us_m36_group;M36
shop/group/us_m6_group;M6 / T1E1
;
;
USA_HELICOPTERS;
uh_1b_shop;UH-1B
uh_1b_0;Bell Utility Helicopter UH-1B Iroquois "Huey"
uh_1b_1;UH-1B
uh_1b_2;UH-1
uh_1c_shop;UH-1C
uh_1c_0;Bell Utility Helicopter UH-1C Iroquois "Huey"
uh_1c_1;UH-1C
uh_1c_2;UH-1
uh_1c_xm_30_shop;UH-1C (XM30)
uh_1c_xm_30_0;Bell UH-1C (XM30) Iroquois "Huey"
uh_1c_xm_30_1;UH-1C
uh_1c_xm_30_2;UH-1
h_34_shop;CH-34A
h_34_0;Sikorsky Cargo Helicopter CH-34A Choctaw
h_34_1;CH-34A
h_34_2;CH-34
ah_1f_shop;AH-1F
ah_1f_0;Bell Attack Helicopter AH-1F Cobra
ah_1f_1;AH-1F
ah_1f_2;AH-1
ah_1g_shop;AH-1G
ah_1g_0;Bell Attack Helicopter AH-1G Cobra
ah_1g_1;AH-1G
ah_1g_2;AH-1
ah_1z_shop;AH-1Z
ah_1z_0;Bell Attack Helicopter AH-1Z Viper
ah_1z_1;AH-1Z
ah_1z_2;AH-1
ah_6m_shop;AH-6M
ah_6m_0;Boeing Attack Helicopter AH-6M Little Bird
ah_6m_1;AH-6M
ah_6m_2;AH-6
oh_58d_shop;OH-58D
oh_58d_0;Bell Observation Helicopter OH-58D Kiowa
oh_58d_1;OH-58D
oh_58d_2;OH-58
yah_64_shop;YAH-64
yah_64_0;Model 77 | Hughes Prototype Attack Helicopter 64
yah_64_1;YAH-64
yah_64_2;YAH-64
ah_64a_shop;AH-64A
ah_64a_0;McDonnell Douglas Attack Helicopter AH-64A Apache
ah_64a_1;AH-64A
ah_64a_2;AH-64
ah_64a_peten_shop;▃ Peten
ah_64a_peten_0;McDonnell Douglas Attack Helicopter AH-64A Peten
ah_64a_peten_1;▃ Peten
ah_64a_peten_2;▃ Peten
ah_64a_greece_usa_shop;AH-64A (HAF)
ah_64a_greece_usa_0;McDonnell Douglas Attack Helicopter AH-64A Apache [ES1003 | 1st Attack Helicopter Battalion, Hellenic Air Force]
ah_64a_greece_usa_1;AH-64A
ah_64a_greece_usa_2;AH-64
ah_64d_shop;AH-64D
ah_64d_0;Boeing Attack Helicopter AH-64D Apache Longbow
ah_64d_1;AH-64D
ah_64d_2;AH-64
;
;
USA_AVIATION;
a-20g_shop;A-20G-25-DO
a-20g_0;Douglas Attack 20G Block 25, Douglas Aircraft Co. Santa Monica, California Havoc
a-20g_1;A-20G
a-20g_2;A-20
shop/group/a-26b_group;A-26B
a-26b_10_shop;A-26B-10-DL
a-26b_10_0;Douglas Attack 26B Invader Block 10, Douglas Long Beach
a-26b_10_1;A-26B
a-26b_10_2;A-26
a-26b_shop;A-26B-50-DL
a-26b_0;Douglas Attack 26B Invader Block 50, Douglas Long Beach
a-26b_1;A-26B
a-26b_2;A-26
a_26c_shop;A-26C-DT
a_26c_0;Douglas Attack 26C Invader, Douglas Tulsa
a_26c_1;A-26C
a_26c_2;A-26
a-26c_shop;A-26C-45-DL
a-26c_0;Douglas Attack 26C Invader Block 45, Douglas Long Beach
a-26c_1;A-26C
a-26c_2;A-26
a-26c-45-dt_shop;A-26C-45-DT
a-26c-45-dt_0;Douglas Attack 26C Invader Block 45, Douglas Tulsa
a-26c-45-dt_1;A-26C
a-26c-45-dt_2;A-26
p-51_a-36_shop;A-36A-1-NA
p-51_a-36_0;NA-97 | North American Attack 36A Apache Block 1, North America Inglewood
p-51_a-36_1;A-36A
p-51_a-36_2;A-36
xa_38_shop;XA-38
xa_38_0;Model 28 | Beechcraft Experimental Attack 38 Grizzly
xa_38_1;XA-38
xa_38_2;A-38
b_10b_shop;B-10B
b_10b_0;Model 139 | Martin Bomber 10B
b_10b_1;B-10B
b_10b_2;B-10
shop/group/b-17_group;B-17E
b-17e_shop;B-17E-BO (1940)
b-17e_0;Model 299-O | Boeing Bomber 17E Flying Fortress, Boeing Seattle (Sperry No. 645705-D remote sighted twin .50 caliber bottom turret)
b-17e_1;B-17E
b-17e_2;B-17
b-17e_late_shop;B-17E-BO (1941)
b-17e_late_0;Boeing Model 299-O Bomber 17E Flying Fortress, Boeing Seattle (Sperry Model A-2A ball turret)
b-17e_late_1;B-17E
b-17e_late_2;B-17
b-17g_shop;B-17G-60-VE
b-17g_0;Model 299O | Boeing Bomber 17G Flying Fortress Block 60, Vega Burbank
b-17g_1;B-17G
b-17g_2;B-17
b_18a_shop;B-18A
b_18a_0;DB-1 | Douglas Bomber 18A Bolo
b_18a_1;B-18A
b_18a_2;B-18
b_24d_shop;B-24D-25-CO
b_24d_0;Model 32 | Consolidated Bomber24D Liberator Block 25, Convair San Diego
b_24d_1;B-24D
b_24d_2;B-24
b_25j_1_shop;B-25J-1-NC
